,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_ad,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_satisfying,hash_tiktok,hash_viral
4,US,7081816197943184686,1648863824,I will post again when he is released!,6916600670204773382,Peewee The Pug,"Watch my YouTube videos! ⬆️
Email: contact@peewee.tv
PLAY CLAWEE! ⬇️",0,False,https://www.tiktok.com/@peewee.tv/video/7081816197943184686?_r=1&u_code=0&region=US&mid=6817208513685620738&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081816197943184686&source=h5_t,11730210,14722,7152,4347,999360,6817208513685620738,6817208513685620738,10036,6817208513685620738,"Spooky, quiet, scary atmosphere piano songs",Skittlegirl Sound,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e1f873ceb95b433c807dbdd2c0c14602,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d44020564b964ece8fc7d53a8b75ea5b,True,True,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
5,KH,7094225656233397531,1651753126,ធម្មជាតិ😂❤️,6965802336036897793,Ny_Ny 💟🥀,Facebook Name: 👉ស៊ុន ម៉ានី💗,0,False,https://www.tiktok.com/@user068ny/video/7094225656233397531?_r=1&u_code=0&region=US&mid=7092761964920818458&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094225656233397531&source=h5_t,59943,17,16,58,11461,7092761964920818458,7092761964920818458,24,7092761964920818458,original sound - Tou,Tou,6.902231408648029e+18,Tou,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7092761980410383130.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e0c01f8092a6f7de42be5d637b43761f.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
0,KH,7091650247667010843,1651153492,បន្ទប់បែបរ៉ូមែនទិច ស្ដាប់សំលេងទឹកសមុទ្រពិតៗ 🌊,6540051662030389249,Da Dany,,0,False,https://t.tiktok.com/i18n/share/video/7091650247667010843/?region=US&mid=7088411031361424154&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091650247667010843&source=h5_t,391380,33,35,40,24112,7088411031361424154,7088411031361424154,24,7088411031361424154,original sound - Mai (Contains music from: 想某人新版 - 王优秀),"Contains music from: ""想某人新版""",7.053076560430384e+18,Mai,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7088411061535263514.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/351022c88c298f886143b08c8782e500.json,False,False,王优秀,想某人新版,original sound - Mai (Contains music from: 想某人新版 - 王优秀),"Contains music from: ""想某人新版""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
1,KH,7096885312529616155,1652372376,Ok #psm #fyp,6785735700245316609,刘金萍,"（刘金萍）💗
Fb=liv cheapink",0,False,https://t.tiktok.com/i18n/share/video/7096885312529616155/?region=US&mid=6928219561674181377&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096885312529616155&source=h5_t,181990,103,134,228,40905,6928219561674181377,6928219561674181377,24,6928219561674181377,original sound - DALIN SOTH 🍡,DALIN SOTH 🍡,73569672507.0,DALIN SOTH 🍡,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6928219483710475009.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/986ca3e6654e19d2cfb5c0ddf85d15eb.json,False,False,,,,,[],0,0,Cambodia,#psm #fyp,0,0,0,0,0,1,0,0,0,0
2,PH,7093446161310207233,1651571636,Inst: kikakim🤍,6785823001336415238,Kika Kim,"Inst: kikakim🤍
Cooperation: kikakim@xoagency.co",0,False,https://t.tiktok.com/i18n/share/video/7093446161310207233/?region=US&mid=7072479175814187782&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093446161310207233&source=h5_t,8011368,3522,7461,57625,641278,7072479175814187782,7072479175814187782,72,7072479175814187782,Gomy Gomy Gomy (Contains music from: Goumi - Sped Up Version - Myriam Fares),"Contains music from: ""Goumi - Sped Up Version""",6.831674564565763e+18,Iconicfatma,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7072479167769873157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d203808dc93f54480af65167e04b08e8.json,False,False,Myriam Fares,Goumi - Sped Up Version,Gomy Gomy Gomy (Contains music from: Goumi - Sped Up Version - Myriam Fares),"Contains music from: ""Goumi - Sped Up Version""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
3,US,7089230435695250734,1650590086,Reply to @alyssa12o 100 layers of liquid latex removal! #MoveWithTommy #bellathemua8 #makeup #live #removal #makeupremoval #liquidlatex #fypシ #virall #viralmakeup #makeupchallenge,6668817515080744965,𝕭𝖊𝖑𝖑𝖆💗,"I LOVE YOU❤️
Cash app- Bellathemua8
🤍Support my small biz IACcosmetics🤍
⬇️🛍⬇️",0,False,https://t.tiktok.com/i18n/share/video/7089230435695250734/?region=US&mid=6728562975734515713&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089230435695250734&source=h5_t,28365000,5855,7982,27608,669312,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Cambodia,#MoveWithTommy #bellathemua8 #makeup #live #removal #makeupremoval #liquidlatex #fypシ #virall #viralmakeup #makeupchallenge,0,0,0,0,0,0,1,0,0,0
4,KH,7101964499862785306,1653554967,អត់ចេញ Filters ចឹង 🥺មានអ្នកដឹងអត់ថាកើតអ្វី 🤔😑,6965073944031495170,ស្រន៚ សីម៉ៅ♡ツᥫᩣ,"ចូលចិត្តអ្នកអោយ ❤️ ខ្លាំងៗ 😚💗 
 FB: ស្រន៚ សីម៉ៅ

Smile.♡♥ツᥫᩣ",0,False,https://t.tiktok.com/i18n/share/video/7101964499862785306/?region=US&mid=7065607616034933530&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101964499862785306&source=h5_t,52546,406,33,0,5295,7065607616034933530,7065607616034933530,24,7065607616034933530,Duet Mukbang Challenge,Pumil__,6.538390726772965e+18,Pumil__,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7065607624888175387.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b8dda74c69a6b5e03427bca1bb685b58.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
5,KH,7101857340588035354,1653530016,លេខតេលេក្រោម0️⃣8️⃣6️⃣6️⃣5️⃣6️⃣4️⃣7️⃣1️⃣,7043668389898126363,FB ហ៊ាង ហ៊ាង 086656417💙👈,"FB ហ៊ាង ហ៊ាង💜
CaII086656417💙👈
លេខវេលុយ👈👆👆",0,False,https://t.tiktok.com/i18n/share/video/7101857340588035354/?region=US&mid=7057751598805633818&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101857340588035354&source=h5_t,55345,75,79,6,15002,7057751598805633818,7057751598805633818,24,7057751598805633818,original sound - 💦🐲Nit ARK 💦🐲❤️ចិត្តល្អ❤️,💦🐲Nit ARK 💦🐲❤️ចិត្តល្អ❤️,6.889345940882261e+18,💦🐲Nit ARK 💦🐲❤️ចិត្តល្អ❤️,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7057751591880903450.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e609b39bd2fc1838c175278faba7adf0.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
0,KH,7098256622371212571,1652691658,When the killer គេចម៉ោងខ្មែរ 🥱 #foryou #fyp #cambodia #fypシ #khmertiktok #xyzbca,6585859672216600577,LALA,"My daily coffee brings me here.
IG: samphouspheaktra",0,False,https://www.tiktok.com/@hi_mynameislala/video/7098256622371212571?_r=1&u_code=0&region=US&mid=6898246476623923970&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098256622371212571&source=h5_t,60271,30,18,29,8159,6898246476623923970,6898246476623923970,24,6898246476623923970,original sound - 도도예♥️,도도예♥️,6.774639445934966e+18,도도예♥️,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6898246402695072513.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/3eb05e1a0dd289061b7a3fb005643888.json,False,False,,,,,[],0,0,Cambodia,#foryou #fyp #cambodia #fypシ #khmertiktok #xyzbca,0,0,1,0,0,1,1,0,0,0
1,KH,7076008049370074394,1647511509, ,6735214224157819905,𝕊𝕠𝕔𝕙𝕖𝕒𝕥𝕒💙❤️,"បេាៈដុំនឹងលក់រាយក្រប់ផលលិតផល🛍🛒កំពុងឆ្នាំង&ឧត្តុង
☎️0969336278/0969460883",0,False,https://www.tiktok.com/@socheatahong07/video/7076008049370074394?_r=1&u_code=0&region=US&mid=7070485197590924058&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076008049370074394&source=h5_t,220821,45,62,80,29650,7070485197590924058,7070485197590924058,72,7070485197590924058,original sound - 劉輝煌,劉輝煌,7.06740663661691e+18,劉輝煌,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7070485192208665371.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/10b4a22a27c0e963401ad1afbd07a950.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
2,KR,7096475527245991169,1652276966,Woo Woooo 🦦#NCT #SHOTARO,6852629128127644674,NCT Official,,0,False,https://www.tiktok.com/@official_nct/video/7096475527245991169?_r=1&u_code=0&region=US&mid=7082370286401702683&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096475527245991169&source=h5_t,5428827,18256,11409,24010,1456208,7082370286401702683,7082370286401702683,24,7082370286401702683,Wait A Minute! (Duckhead Edit) (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",6.508494589473112e+18,Duckhead Dj Kasur,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7082370305552829210.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/241863689ab47c011269273c5f206d17.json,False,False,WILLOW,Wait a Minute!,Wait A Minute! (Duckhead Edit) (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",[],0,0,Cambodia,#NCT #SHOTARO,0,0,0,0,0,0,0,0,0,0
3,GH,7096385651624512774,1652256046,#foryoupage #sugarcane #sugarcanechallenge,7037958382805058566,African_Barbie,barbie africaine💦💦,0,False,https://www.tiktok.com/@paula_ekua/video/7096385651624512774?_r=1&u_code=0&region=US&mid=7086565365081328390&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096385651624512774&source=h5_t,9700694,35679,37557,58902,789544,7086565365081328390,7086565365081328390,10036,7086565365081328390,Sugarcane - Remix,Camidoh & Mayorkun & Darkoo,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/7c00fc9fc4e6447d855a50d83cd3a261,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ab1bb18c75314d4bbc95d0c495e5fd4f,False,True,,,,,[],0,0,Cambodia,#foryoupage #sugarcane #sugarcanechallenge,0,0,0,1,0,0,0,0,0,0
4,US,7074780648959069486,1647225733,"New week, new hacks. #thatlittlepuff #puffknowsbetter #catsoftiktok #TheAdamProject",6732255236565877766,ThatLittlePuff,👇Get Dashing Clothes for Your Pets👇,0,False,https://www.tiktok.com/@thatlittlepuff/video/7074780648959069486?_r=1&u_code=0&region=US&mid=7074780626414471982&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074780648959069486&source=h5_t,53786455,8244,3324,18339,2940058,7074780626414471982,7074780626414471982,72,7074780626414471982,original sound - ThatLittlePuff,ThatLittlePuff,6.732255236565878e+18,ThatLittlePuff,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7074780651341253422.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/5eea8b8eb10f128a34827a0bbb54d190.json,False,False,,,,,[],0,0,Cambodia,#thatlittlepuff #puffknowsbetter #catsoftiktok #TheAdamProject,0,0,0,0,0,0,0,0,0,0
5,KH,7099831409010871578,1653058317, ,7020146020157129754,phaek ❤️,Hi🥰,0,False,https://www.tiktok.com/@phaek86/video/7099831409010871578?_r=1&u_code=0&region=US&mid=7097775585199409947&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099831409010871578&source=h5_t,172184,1,348,2,38051,7097775585199409947,7097775585199409947,24,7097775585199409947,original sound - Tom Bou Zin,Tom Bou Zin,6.920518651599242e+18,Tom Bou Zin,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7097775603167873819.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9c8305b7d46151ecb58a6cece54648fa.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
6,KG,7099555575041723649,1652994096,😃,29253456,Boom boom 💥,"New Official Channel 
@DBillions_kids_songs  🎶",0,False,https://www.tiktok.com/@boomboom_dbillions/video/7099555575041723649?_r=1&u_code=0&region=US&mid=6842063010173930246&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099555575041723649&source=h5_t,13964073,938,1213,5634,240706,6842063010173930246,6842063010173930246,72,6842063010173930246,what is this,ella / finn,6.554513295548618e+18,ella / finn,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6903233517786811141.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e08ac30b822e581eca15bdd1ba6056d8.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
0,KH,7102617501212757275,1653707005,វត្តប្រាសាទ៚សង្កាត់ពញាន់៚ខណ្ឌព្រែកព្នៅ៚រាជធានីភ្នំពេញ,6925954476898616321,E.P.Yនាក់កំពត,E.P.Yខ្ញុំព្រះករុណាថ្វាយបង្គំគ្រុបព្រះអង្គនឹងចម្រើនពរញាតិញោមសូមអគុណអ្នកចុចបេះដូង,0,False,https://t.tiktok.com/i18n/share/video/7102617501212757275/?region=US&mid=7075286551567009793&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102617501212757275&source=h5_t,123647,15,10,7,10018,7075286551567009793,7075286551567009793,10033,7075286551567009793,BOK KALO,VannDa,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/4c05e5b20b5d489ab67835961fd66ac7,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/b2270f87ee3b46ea8d54a5819fde6db9,False,True,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
1,KH,7094501832118013210,1651817428,ស្គាល់អត់បងប្អូន☺បងស្រីដេតម៉ាលីណាគាត់មកទីញលៀក😍គាត់រួសរាយហេីយមុខឡេីងខ្យូតៗៗៗ😍😍😍😍😍,6628447406453227522,Mom Mom,,0,False,https://t.tiktok.com/i18n/share/video/7094501832118013210/?region=US&mid=6857860281746327554&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094501832118013210&source=h5_t,86604,0,11,9,2601,6857860281746327554,6857860281746327554,10033,6857860281746327554,លឺសម្លេងអ្វីទេ?,Ma Ma,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/70fef985691d4dc1b2ee5b5cfd3fa5ad,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/cdb9222757af4cb199bda7822e925d35,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1526450063', 'external_song_key': 'apple_song_id'}]",0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
2,US,7095788510392667434,1652117008,DM for Credit or Removal Request(No copyright intended)All Rights and Credit go to respected owners:#faze #optic #marvel #disney #steveharvey #vanoss #ludwig #sidemen #drdisrespect #loganpaul #xqc #ksi #mrbeast #pewdipie #ttv #courage #coldones #keemstar #metaphor #nickmercs #shroud #summit1g #ibai #tyler1 #hasanabi #dudeperfect #jelly #lankybox #topperguild #jev #therock #justinbieber #willsmith #rihanna #arianagrande #robertdowneyjr #kimkardashian #oprahwinfrey #leonardodicaprio #valorant,6881873085060154373,ImMetaphor,"22
Start Streaming at 250k Followers
Hashtags=A Lot Of Views",0,False,https://t.tiktok.com/i18n/share/video/7095788510392667434/?region=US&mid=7095788454671354666&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095788510392667434&source=h5_t,15230794,8549,8667,28322,1961279,7095788454671354666,7095788454671354666,72,7095788454671354666,original sound - ImMetaphor,ImMetaphor,6.881873085060154e+18,ImMetaphor,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7095788488888470318.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/bf0f92b788bdcab66ffab07975b948f6.json,False,False,,,,,[],0,0,Cambodia,#faze #optic #marvel #disney #steveharvey #vanoss #ludwig #sidemen #drdisrespect #loganpaul #xqc #ksi #mrbeast #pewdipie #ttv #courage #coldones #keemstar #metaphor #nickmercs #shroud #summit1g #ibai #tyler1 #hasanabi #dudeperfect #jelly #lankybox #topperguild #jev #therock #justinbieber #willsmith #rihanna #arianagrande #robertdowneyjr #kimkardashian #oprahwinfrey #leonardodicaprio #valorant,0,0,0,0,0,0,0,0,0,0
3,BE,7094683461503552773,1651859718,#donelltotti,6866872586073867270,Donell Totti,"▪️Fact or Cap 🧢🇧🇪
▪️DM on IG For ADs
▪️YouTube ⤵️
         👇🏾",0,False,https://t.tiktok.com/i18n/share/video/7094683461503552773/?region=US&mid=7094683440223619846&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094683461503552773&source=h5_t,9294604,968,1801,2548,266774,7094683440223619846,7094683440223619846,72,7094683440223619846,original sound - Donell Totti (Contains music from: Cradles Remix - Dj Viral Mix),"Contains music from: ""Cradles Remix""",6.866872586073867e+18,Donell Totti,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094683451441433349.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1465cdcd70d29160c2d25a73d06d7b96.json,False,False,Dj Viral Mix,Cradles Remix,original sound - Donell Totti (Contains music from: Cradles Remix - Dj Viral Mix),"Contains music from: ""Cradles Remix""",[],0,0,Cambodia,#donelltotti,0,0,0,0,0,0,0,0,0,0
4,US,7079965722310364458,1648432977,"Just bothering my little big sis, don’t worry she was all good🤪 #shepskyshenanigans #doglife #dogsofttiktok #siblinglove",7073591573976663083,Axel 😈,"Part-time GSD, part-time husky 
Full-time Menace to society😈
Bay Area baby📍🌉",0,False,https://t.tiktok.com/i18n/share/video/7079965722310364458/?region=US&mid=7053859243434265350&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079965722310364458&source=h5_t,53572962,93027,850276,418948,7583044,7053859243434265350,7053859243434265350,72,7053859243434265350,original sound - Sr. Lucifer,Sr. Lucifer,6.819827574970861e+18,Sr. Lucifer,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7053859268587752197.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a545970f124c9a8eef3f4eeb09ccb11d.json,False,False,,,,,[],0,0,Cambodia,#shepskyshenanigans #doglife #dogsofttiktok #siblinglove,0,0,0,0,0,0,0,0,0,0
5,SG,7103109136539340034,1653821474,u guys are not best friends if yall are the same height @generatinggg,6958361839836398593,saynotomalaitstoospicy,do re mi,0,False,https://t.tiktok.com/i18n/share/video/7103109136539340034/?region=US&mid=6733271945527266053&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103109136539340034&source=h5_t,25290,4,53,8,674,6733271945527266053,6733271945527266053,72,6733271945527266053,Follow Insta shelliehematian,Shellie,5.51837573091328e+16,Shellie,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1643868498881574.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/4186304d92360e997cdcd33a1abc6291.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
0,KH,7073265035992206619,1646872853,Mine កាក់ Verus មួយខែបាន 15$ 😁👍រួចថ្លៃបង់  Internet  ប្រចាំខែ,6543503258269548546,ឡេង សៀកម៉េង,,0,False,https://t.tiktok.com/i18n/share/video/7073265035992206619/?region=US&mid=7073265027179924251&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073265035992206619&source=h5_t,73504,35,33,1,3882,7073265027179924251,7073265027179924251,72,7073265027179924251,original sound - ឡេង សៀកម៉េង,ឡេង សៀកម៉េង,6.543503258269549e+18,ឡេង សៀកម៉េង,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7073265012210502427.mp3,,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
1,KH,7102383355211205915,1653652488,អ្នកឈឺតែញំអត់ឈប់😂😂💜💜#កែវឡាវីញ💜,6567644319012339713,@ FAN vigne vigne 💜💜👸,Love vigne is vigne 💜💜👸 sugar fan vigne 🍭🍭,0,False,https://t.tiktok.com/i18n/share/video/7102383355211205915/?region=US&mid=7078514917451647771&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102383355211205915&source=h5_t,39938,14,2,4,1096,7078514917451647771,7078514917451647771,24,7078514917451647771,original sound - Chea Hennessy,Chea Hennessy,6.674026107593737e+18,Chea Hennessy,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7078514919242599194.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ca8135cd5d8e1bc132d504419e564061.json,False,False,,,,,[],0,0,Cambodia,#កែវឡាវីញ💜,0,0,0,0,0,0,0,0,0,0
2,US,7102509344541003054,1653681823,This dance was definitely a gem💎 dc:@oh.its.phoebe #dance #foryoupage #princessuwe #viral #fyp,83505197343252480,Uwe Westmeier,"Burn Survivor 🙌🏾 
✨Confidence breeds beauty✨
Snap:princessuwe",0,False,https://t.tiktok.com/i18n/share/video/7102509344541003054/?region=US&mid=7102509303214476075&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102509344541003054&source=h5_t,1031154,351,118,535,148743,7102509303214476075,7102509303214476075,72,7102509303214476075,original sound - Uwe Westmeier (Contains music from: Doja Cat (Boom) - 4Roe),"Contains music from: ""Doja Cat (Boom)""",8.350519734325248e+16,Uwe Westmeier,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7102509337309924139.mp3,,False,False,4Roe,Doja Cat (Boom),original sound - Uwe Westmeier (Contains music from: Doja Cat (Boom) - 4Roe),"Contains music from: ""Doja Cat (Boom)""",[],0,0,Cambodia,#dance #foryoupage #princessuwe #viral #fyp,0,0,0,1,0,1,0,0,0,1
3,KH,7098612782358138139,1652774583,អរគុណការមើលងាយ🙂💪🥰💊#សុំ❤️ម្នាក់មួយមកok🙏❤️❤️ #vitaccinoblack #ស្រកពិតៗ💥 #សម្រកគីឡូ,7090047307874010113,kna171,"មានលក់ថ្នាំសម្រក💊🛍
Fb: សាង៚សូលីណា៚
Telegram:016601741🛍📥",0,False,https://t.tiktok.com/i18n/share/video/7098612782358138139/?region=US&mid=7037168664101096219&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098612782358138139&source=h5_t,41435,79,12,71,7958,7037168664101096219,7037168664101096219,24,7037168664101096219,original sound - NUNFAA,NUNFAA,7.029983008762037e+18,NUNFAA,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7037168440725048091.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2a8f03b0b59938bc255c1dd445fde951.json,False,False,,,,,[],0,0,Cambodia,#សុំ❤️ម្នាក់មួយមកok🙏❤️❤️ #vitaccinoblack #ស្រកពិតៗ💥 #សម្រកគីឡូ,0,0,0,0,0,0,0,0,0,0
4,US,7096193904948579627,1652211395,#FindYourEdge #satisfying #asmr #chiroboard #backpain #fyp #foryou #foryoupage #massagehandle #chironeck,7041718015474140166,Chirobackboard.com,"Thanks for 1 Million 
‼️50% OFF & FREE SHIPPING WORLD WIDE‼️
👇👇",0,False,https://t.tiktok.com/i18n/share/video/7096193904948579627/?region=US&mid=6728562975734515713&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096193904948579627&source=h5_t,2008127,199,265,120,63744,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Cambodia,#FindYourEdge #satisfying #asmr #chiroboard #backpain #fyp #foryou #foryoupage #massagehandle #chironeck,0,1,1,1,0,1,0,1,0,0
5,KZ,7100962592977456386,1653321692,guess his age😏 Inst: kagiristwins,16665941,Kagiris Twins,"inst: kagiristwins 
      20 y.o.
adv: kagiristwins@gmail.com",0,False,https://t.tiktok.com/i18n/share/video/7100962592977456386/?region=US&mid=7087113235861719813&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100962592977456386&source=h5_t,21201446,17269,1783,14127,1943651,7087113235861719813,7087113235861719813,72,7087113235861719813,original sound - Stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",6.92775759039221e+18,Stirflex,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087113283337063173.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1ff08a299e2db4c70d7a2a994177212b.json,False,False,El Alfa & Chael Produciendo,Gogo Dance,original sound - Stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
