,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_comedy,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_pov,hash_trending,hash_viral,hash_xyzbca
4,GB,7094299808457936134,1651770393,No talking just pool sounds! Another pool ready! #hollayaboy #thep00lguy #satisfying #oddlysatisfying #asmr,6760991992061559813,thepoolguyml,"Media/commercial-Jim@offlimitsentertainment.com

🔴BESTWAY POOL CLEAN🔴",0,False,https://www.tiktok.com/@thep00lguy/video/7094299808457936134?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094299808457936134&source=h5_m,1569278,561,454,309,172337,7094299801558223621,7094299801558223621,72,7094299801558223621,original sound - thep00lguy,thepoolguyml,6.76099199206156e+18,thepoolguyml,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094299812253797125.mp3,,False,False,,,,,[],0,0,Jersey,#hollayaboy #thep00lguy #satisfying #oddlysatisfying #asmr,0,0,0,0,0,0,0,0,0,0
5,ES,7100733052120321285,1653268251,#mommyissues #cildhoodtruama #mentalhealthmatters #favoriteteacher #highschool #senior #favoritepersonbpd #bpd #lgbt #bringingawareness,6950694175009899526,Bia <3,you're not alone.,0,False,https://www.tiktok.com/@theleastlovedchild/video/7100733052120321285?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100733052120321285&source=h5_m,8948434,16332,19970,77587,2709356,7069760128433523462,7069760128433523462,72,7069760128433523462,original sound - sp33d_.songsss,Stan :),6.517993128232752e+18,Stan :),False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069760113749347078.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c73f6c9746654fc8bd233beed69c7cf4.json,False,False,,,,,[],0,0,Jersey,#mommyissues #cildhoodtruama #mentalhealthmatters #favoriteteacher #highschool #senior #favoritepersonbpd #bpd #lgbt #bringingawareness,0,0,0,0,0,0,0,0,0,0
6,GB,7102401750019230981,1653656774,#ad #ad #berrypeachy Undercover fed nearly blows his cover @Tango BUY one today! #timetotango,107354896219152384,Jack Joseph,"Video every day at 5pm
🔻Click the link below🔻",0,False,https://www.tiktok.com/@jackjos3ph/video/7102401750019230981?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102401750019230981&source=h5_m,2171827,1885,2470,4271,319076,7102401752808360710,7102401752808360710,72,7102401752808360710,original sound - jackjos3ph,Jack Joseph,1.0735489621915238e+17,Jack Joseph,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102401764494969606.mp3,,False,False,,,,,[],0,0,Jersey,#ad #ad #berrypeachy #timetotango,0,0,0,0,0,0,0,0,0,0
7,US,7102194335797562666,1653608479, ,6638784714189471749,rob,,0,False,https://www.tiktok.com/@sheluvvvsrob/video/7102194335797562666?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102194335797562666&source=h5_m,749884,12450,2962,5391,180396,7100187251178588933,7100187251178588933,72,7100187251178588933,original sound - spxedupsongs,Esteve <3,7.037579377487594e+18,Esteve <3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100187262982015749.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3a77dd0bfa4d765bca0f8f1f58474970.json,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
0,GB,7086094931055463686,1649860045,i swear they make everything better <3 #chrissturniolo #mattsturniolo #nicksturniolo #sturniolotriplets #foryou #fyp @christophersturniolo @nicolassturniolo @mattsturniolo,7085811853514867718,mace💌,"< sturniolotriplets 3
BE KIND
subbed since 80k
nick commented🥺
THANK U❤️‍🩹",0,False,https://www.tiktok.com/@lovesicksturniolo/video/7086094931055463686?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086094931055463686&source=h5_m,3135739,12818,9460,8729,593124,7033938203849640710,7033938203849640710,72,7033938203849640710,original sound - vspmonaghan,???,6.846244233326855e+18,???,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7033938303648795397.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2664295dc87454bf512018029e95f001.json,False,False,,,,,[],0,0,Jersey,#chrissturniolo #mattsturniolo #nicksturniolo #sturniolotriplets #foryou #fyp,0,1,0,0,1,0,0,0,0,0
1,AU,7078631195487063298,1648122259,A new favourite #anxietyrelief #tutorials #calming #mindfulness #arttok #artistsoftiktok #LearnOnTikTok #artist #artlinepen #artsupplies #lineart #linearttutorial #learnwithtiktok #mentalhealthmatters,6889553274887259141,Tamara Michael,"Here to unlock your inner artist 🔓🎨
Follow me on IG! 
Art supplies below
👇🏼",0,False,https://www.tiktok.com/@tamaramichael_/video/7078631195487063298?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078631195487063298&source=h5_m,895067,87,455,5393,121593,6923650209134168066,6923650209134168066,10033,6923650209134168066,In The Forest (Acoustic Indie No Copyright) - Instrumental,Lesfm & Olexy,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f44ec70213074fdc8332c603dfa8e3d0,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/c6a4b25cbdc54043957907cfb9703725,False,True,,,,,[],0,0,Jersey,#anxietyrelief #tutorials #calming #mindfulness #arttok #artistsoftiktok #LearnOnTikTok #artist #artlinepen #artsupplies #lineart #linearttutorial #learnwithtiktok #mentalhealthmatters,0,0,0,0,0,0,0,0,0,0
2,GB,7078953288372096262,1648197253, ,7065820900835361797,Daniel Robert Lockett,"Sketch comedy
Two original comedy videos released weekly
Insta for extra content",0,False,https://www.tiktok.com/@danielrobertlockett/video/7078953288372096262?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078953288372096262&source=h5_m,856964,307,892,767,143786,7078953249620904710,7078953249620904710,72,7078953249620904710,original sound - danielrobertlockett (Contains music from: Busy Plane Interior - Audio Decor Sound Effects),"Contains music from: ""Busy Plane Interior""",7.065820900835362e+18,Daniel Robert Lockett,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078953249998490374.mp3,,False,False,Audio Decor Sound Effects,Busy Plane Interior,original sound - danielrobertlockett (Contains music from: Busy Plane Interior - Audio Decor Sound Effects),"Contains music from: ""Busy Plane Interior""",[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
3,GB,7077249602222689542,1647800581,That is bold #fyp #foryou #foryoupage #football #soccer,6532022869440905218,Olli ranken,https://playform.onelink.me/wSKM/97e7c765,0,False,https://www.tiktok.com/@olliranken/video/7077249602222689542?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077249602222689542&source=h5_m,6655186,951,2327,4065,485028,6936458932235897605,6936458932235897605,72,6936458932235897605,Centuries x Heathens mashup by SRUnknow CL,Wonderftbl,6.854397599190222e+18,Wonderftbl,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/6990338925386550042.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/9653651b03cb4552d8c5c06e0d55eba5.json,False,False,,,,,[],0,0,Jersey,#fyp #foryou #foryoupage #football #soccer,0,1,1,0,1,0,0,0,0,0
4,GB,7070533905891298566,1646236963,Back with a POV ft @moresoph since I’m losing followers bruh... #fyp #foryou,6556562862855356422,Grace 🤍,"CEO of cringe POVs
I’m better on Insta😎⬆️
📧Grace@wermedia.co.uk",0,False,https://www.tiktok.com/@moregrace/video/7070533905891298566?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070533905891298566&source=h5_m,717876,2066,595,40,152557,7070533917069019910,7070533917069019910,72,7070533917069019910,original sound - moregrace,Grace 🤍,6.556562862855356e+18,Grace 🤍,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070533931946298118.mp3,,False,False,,,,,[],0,0,Jersey,#fyp #foryou,0,1,0,0,1,0,0,0,0,0
5,ZA,7103567450339282181,1653928184,"To donate, go to the link in our bio. To find out more, go to our pinned videos. 🤍🐺 #wolf #wolvesoftiktok #wolves #wolfsanctuary #animal #cat #dogs #pig #horse #dog #sanctuary #animalsanctuary #dogsofttiktok #donate #foryoupage #fypage #fyp",7078770589423846406,allheartsfoundation,"Wolf & Animal Sanctuary 🤍
🆘 Help Save Our Sanctuary 🆘
⬇️ TO DONATE ⬇️",0,False,https://www.tiktok.com/@allheartsfoundation/video/7103567450339282181?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103567450339282181&source=h5_m,72385,261,1547,5,12757,6706089101600229378,6706089101600229378,10033,6706089101600229378,Heal,Tom Odell,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e1d9be895d5b49889d2e2520323f67e8,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/2a3846258d374f579ca011affebfba5d,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '608400342', 'external_song_key': 'apple_song_id'}]",0,0,Jersey,#wolf #wolvesoftiktok #wolves #wolfsanctuary #animal #cat #dogs #pig #horse #dog #sanctuary #animalsanctuary #dogsofttiktok #donate #foryoupage #fypage #fyp,0,0,1,0,1,0,0,0,0,0
6,US,7102030835825757486,1653570413,Breakfast 🥞 #breakfast #pancakes #banana #smoothie #applesauce #breakfastideas #toddlermeals #kidsfood #kidsoftiktok #MomsofTikTok #toddlersoftiktok #food #foryou #foodie #fyp #recipe #whatmykidseat #viral #viralvideo #forkids,6867537050163086342,Alexys Tuberosa,"🥕Easy meal ideas
3yo🧒🏼5yo👧🏽8yo👦🏽
Venmo: @feeding_kae
🇵🇷🇮🇹",0,False,https://www.tiktok.com/@feeding_kae/video/7102030835825757486?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102030835825757486&source=h5_m,125588,32,6,11,8575,6847581036629460993,6847581036629460993,10033,6847581036629460993,Send Me on My Way,Vibe Street,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b8b6a059fd4c426a97a5489dae74e57d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/43a0bef613dc47ea97341d390061225e,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1522652117', 'external_song_key': 'apple_song_id'}]",0,0,Jersey,#breakfast #pancakes #banana #smoothie #applesauce #breakfastideas #toddlermeals #kidsfood #kidsoftiktok #MomsofTikTok #toddlersoftiktok #food #foryou #foodie #fyp #recipe #whatmykidseat #viral #viralvideo #forkids,0,1,0,0,1,0,0,0,1,0
7,US,7079900124297710891,1648417704,#ehlersdanlossyndrome #ehlersdanlos #chronicillness #disability #fyp #WomenOwnedBusiness #OscarsAtHome #foryoupage,6942146667215193094,Ehlersdanlosbabe,"Ehlersdanlos syndrome advocate/genetics student
NOT A DOCTOR",0,False,https://www.tiktok.com/@ehlersdanlosbabe/video/7079900124297710891?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079900124297710891&source=h5_m,4633316,3796,5291,972,860561,7079900112776022830,7079900112776022830,72,7079900112776022830,original sound - ehlersdanlosbabe,Ehlersdanlosbabe,6.942146667215193e+18,Ehlersdanlosbabe,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7079900122510887722.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2b57cf9b745556b56e2acf6e5d6266cb.json,False,False,,,,,[],0,0,Jersey,#ehlersdanlossyndrome #ehlersdanlos #chronicillness #disability #fyp #WomenOwnedBusiness #OscarsAtHome #foryoupage,0,0,1,0,1,0,0,0,0,0
0,US,7076200535627533611,1647556327,It’s ok🥺#kneebiter,7049621999016330287,Dixie,ShihTzu/terrier,0,False,https://www.tiktok.com/@realityrat2/video/7076200535627533611?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076200535627533611&source=h5_m,9703903,66875,65110,40836,1817960,7072947799217736494,7072947799217736494,72,7072947799217736494,original sound - randomuser0972,👾,6.96521492150087e+18,👾,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072947804426996523.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e8aca695fad881ab98aaa8aaa8a7acac.json,False,False,,,,,[],0,0,Jersey,#kneebiter,0,0,0,0,0,0,0,0,0,0
1,US,7073619854984596782,1646955464,middle school sleepovers 🍕 #comedy,6609660490811998213,hannah montoya,"almost hannah montana
hannah@thenetwork-effect.com",0,False,https://www.tiktok.com/@hannah.montoya/video/7073619854984596782?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073619854984596782&source=h5_m,8229789,20338,13629,11351,1877646,7073619844410772270,7073619844410772270,72,7073619844410772270,original sound - hannah.montoya,hannah montoya,6.609660490811998e+18,hannah montoya,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073619861834517291.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/1c1272c1351d09ba08cdf956a7640aed.json,False,False,,,,,[],0,0,Jersey,#comedy,1,0,0,0,0,0,0,0,0,0
2,GB,7103632801206963462,1653943399, ,6774457503856149509,xgilham,RELATABLE QUOTES & EMOTIONS,0,False,https://www.tiktok.com/@xgilham/video/7103632801206963462?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103632801206963462&source=h5_m,159722,413,1454,1490,14988,7103632799172758278,7103632799172758278,72,7103632799172758278,original sound - xgilham,xgilham,6.77445750385615e+18,xgilham,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103632792172612358.mp3,,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
3,US,7071054388294356266,1646358145,Answer The Riddle!! 🤔 Can you do it? @joshvanbatenburg #challenge #foryou,6615741982961041414,The Card Guy,"everyone needs a little magic
business: evan@cardguy.co",0,False,https://www.tiktok.com/@thecardguy/video/7071054388294356266?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071054388294356266&source=h5_m,2656148,1767,251,982,140881,7071054375086525226,7071054375086525226,72,7071054375086525226,original sound - thecardguy,The Card Guy,6.615741982961041e+18,The Card Guy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7071054389171047211.mp3,,False,False,,,,,[],0,0,Jersey,#challenge #foryou,0,1,0,0,0,0,0,0,0,0
4,US,7072586586315115818,1646714888,Reply to @rvn.phnx106uvu,6615815604245823493,Rashad_shinwari,"Daily Crypto, NFT and investing Content 🚨 Not a financial advisor.
❤️🏆🇺🇸 🍀",0,False,https://www.tiktok.com/@resh.eth/video/7072586586315115818?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072586586315115818&source=h5_m,54372014,92232,41473,4406,2160029,6936143790793296642,6936143790793296642,72,6936143790793296642,original sound - _marvel.crash_ (Contains music from: Ritmo Vocal Zocoleo - DJ Beatbox),"Contains music from: ""Ritmo Vocal Zocoleo""",6.557238859020304e+18,I'm the god Loki,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6985831062383414017.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a331f76114625acd49dcd2d82a59303d.json,False,False,DJ Beatbox,Ritmo Vocal Zocoleo,original sound - _marvel.crash_ (Contains music from: Ritmo Vocal Zocoleo - DJ Beatbox),"Contains music from: ""Ritmo Vocal Zocoleo""",[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
5,JE,7096438227761941765,1652268282,SHE HAD NO IDEA!!! 😂😂😂 @kristenhanby123,6972016030848173061,hanbyfamily,⬇️ ⬇️ NEW VLOG ⬇️ ⬇️,0,False,https://www.tiktok.com/@hanbyfamily/video/7096438227761941765?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096438227761941765&source=h5_m,101197,20,13,25,4543,7096438208153537285,7096438208153537285,72,7096438208153537285,original sound - hanbyfamily,hanbyfamily,6.972016030848173e+18,hanbyfamily,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096438207004297990.mp3,,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
6,JE,7078008647233686790,1647977309,( the other guy fell- )[ creds: @aqquisa ] #gacahtrend #trend #pov #fyp #foryoupage #edit #gachaclub #gachaedit #gachalife,6995124182066922502,🏝 ࣪˖ ୨ 𝑠𝑒𝑎 𝑎𝑟𝑚𝑦 ୧ ࣪˖🏝,"ꕤ˚🏝˳⊹𝘃𝗶𝗰𝘁𝗼𝗿˚ ˳🎋⊹ ꕤ
╰ 𝑡ℎ𝑒𝑦/𝑡ℎ𝑒𝑚
𝚂𝚙𝚊𝚖=🚫
<✦࣪ ▸ 189ᴋ ᴛʏsᴍ! ▸ ✦࣪ >",0,False,https://www.tiktok.com/@.vivt0r/video/7078008647233686790?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078008647233686790&source=h5_m,459760,297,134,2629,80151,7078008627751029509,7078008627751029509,72,7078008627751029509,original sound - .vivt0r,🏝 ࣪˖ ୨ 𝑠𝑒𝑎 𝑎𝑟𝑚𝑦 ୧ ࣪˖🏝,6.995124182066922e+18,🏝 ࣪˖ ୨ 𝑠𝑒𝑎 𝑎𝑟𝑚𝑦 ୧ ࣪˖🏝,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078008643576498950.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/428f0a64f54bf6ba49aa3a2192250a32.json,False,False,,,,,[],0,0,Jersey,#gacahtrend #trend #pov #fyp #foryoupage #edit #gachaclub #gachaedit #gachalife,0,0,1,0,1,0,1,0,0,0
7,US,7103639309210733870,1653944913,Reply to @x.suz000 The sun is strong! #foryou,6620558772857323526,Maddzak,"🚨 I go live every hour 🚨
MaddzakBusiness@gmail.com",0,False,https://www.tiktok.com/@maddzak/video/7103639309210733870?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103639309210733870&source=h5_m,227814,1205,23,13,17494,7099115733075609601,7099115733075609601,10033,7099115733075609601,Music For a Sushi Restaurant,Harry Styles,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/9fbc44d5cbf942c59a1d4609835920ff,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/5533844c37e5476bb03dcd3d0222805d,True,True,,,,,[],0,0,Jersey,#foryou,0,1,0,0,0,0,0,0,0,0
0,IT,7103651957306297605,1653947859,I #tortellini con la PANNA! Vi piace la #pasta ? A me fa IMPAZZIRE! Ovviamente questa è la mia VERSIONE #slime #gtcreationslime,6832328024281760773,Giovanni T. 🇮🇹,Per il MIO SHOP cliccate qui sotto,0,False,https://m.tiktok.com/v/7103651957306297605.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103651957306297605&source=h5_m,380523,276,152,615,55815,7092395731911215878,7092395731911215878,72,7092395731911215878,i wanna i wanna ridee,quentin’,7.091964324415948e+18,quentin’,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092395735131360006.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/51c18e4eedd89224941c3d0f95076293.json,False,False,,,,,[],0,0,Jersey,#tortellini #pasta #slime #gtcreationslime,0,0,0,0,0,0,0,0,0,0
1,GB,7099022037259209990,1652869874,#fypシ #viral #initials,7070470277566972933,Initial <3,Initial TikTok’s 💕,0,False,https://m.tiktok.com/v/7099022037259209990.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099022037259209990&source=h5_m,1150439,11650,4559,3740,49050,6906531308856789762,6906531308856789762,72,6906531308856789762,original sound - suneysounds,Alisa,6.728714004757874e+18,Alisa,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6906531257946049281.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/3380e804063dad5ce5b4b315e477994b.json,False,False,,,,,[],0,0,Jersey,#fypシ #viral #initials,0,0,0,0,0,1,0,0,1,0
2,GB,7093957032205749509,1651690584, ,6624975712279904261,joeleggettx,"You’ve clicked on the profile you might aswell follow…
Insta - joeleggettx📸",0,False,https://m.tiktok.com/v/7093957032205749509.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093957032205749509&source=h5_m,554423,2465,449,1368,105142,7093957035724704518,7093957035724704518,72,7093957035724704518,original sound - joeleggett,joeleggettx,6.624975712279904e+18,joeleggettx,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093957043958319878.mp3,,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
3,GB,7077346939959790853,1647823244,Trauma dumping im sorry #teenmum #socialmediadad #deadbeatdad,6764026486321955846,Izzi-Alice👸🏻☁️🤍,"Insta and snap izzialicexo
🦢🕊🐚☁️🫧⛸🤍💭",0,False,https://m.tiktok.com/v/7077346939959790853.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077346939959790853&source=h5_m,1688478,1324,708,618,355804,7041333597529590534,7041333597529590534,10036,7041333597529590534,Birthday Cake,Dylan Conrique,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6905981be7a94188ba91a9b6966de9a7,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/60ce5601cdcf48b4a43606da7ed2d09f,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1605579721', 'external_song_key': 'apple_song_id'}]",0,0,Jersey,#teenmum #socialmediadad #deadbeatdad,0,0,0,0,0,0,0,0,0,0
4,GB,7093193200914976005,1651512740,well no wonder🤣 video:@Steve #foryoupage #foryou #fyp #ridersrepublic #steep #ubisoft #gtav #viral #gaming #trending #foru,6641289334384361477,MURDA10K,"Replying on Instagram👆
 -
Member of Ace Collective 
-
👇OG clips here",0,False,https://m.tiktok.com/v/7093193200914976005.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093193200914976005&source=h5_m,2959740,688,897,2522,206575,7093193186977450758,7093193186977450758,72,7093193186977450758,original sound - murda10k,MURDA10K,6.641289334384361e+18,MURDA10K,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093193187812313861.mp3,,False,False,,,,,[],0,0,Jersey,#foryoupage #foryou #fyp #ridersrepublic #steep #ubisoft #gtav #viral #gaming #trending #foru,0,1,1,0,1,0,0,1,1,0
5,JE,7096846508061936902,1652363342,SHE WET HER PANTS!!! 😂😂😂 @kristenhanby123,6972016030848173061,hanbyfamily,⬇️ ⬇️ NEW VLOG ⬇️ ⬇️,0,False,https://m.tiktok.com/v/7096846508061936902.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096846508061936902&source=h5_m,827334,72,156,306,26453,7096846492488436486,7096846492488436486,72,7096846492488436486,original sound - hanbyfamily (Contains music from: When Lightning Strikes - Rockin' For Decades),"Contains music from: ""When Lightning Strikes""",6.972016030848173e+18,hanbyfamily,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096846471319915270.mp3,,False,False,Rockin' For Decades,When Lightning Strikes,original sound - hanbyfamily (Contains music from: When Lightning Strikes - Rockin' For Decades),"Contains music from: ""When Lightning Strikes""",[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
6,JE,7079733025927449862,1648378798,💖🥵😻😩 #blowthisup #prayingforukraine #makemegoviral #harry #him #UARushChallenge #lastmonth #single #taken,7073917266363220997,follow me if your quirky 😩,"harry the fittie 😩😏
ty for 2.5k ilysm x
offline rn",0,False,https://m.tiktok.com/v/7079733025927449862.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079733025927449862&source=h5_m,3900,163,71,3,679,7073928596514933510,7073928596514933510,72,7073928596514933510,Woman,Nightcore/sped up songs,7.002322489893701e+18,Nightcore/sped up songs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073928604232567558.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c0b0afdcd7141a86ad0bcb1fb13044b0.json,False,False,,,,,[],0,0,Jersey,#blowthisup #prayingforukraine #makemegoviral #harry #him #UARushChallenge #lastmonth #single #taken,0,0,0,0,0,0,0,0,0,0
7,US,7103593947871857966,1653934352,#extra #eggs #legs #whatdoyoumean #sleeptalking #sleeptalker,6927509312830981126,SLEEP YELLER,Nighttime recordings.,0,False,https://m.tiktok.com/v/7103593947871857966.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103593947871857966&source=h5_m,204511,83,241,0,15199,7103593918062709546,7103593918062709546,72,7103593918062709546,original sound - sleepyeller,SLEEP YELLER,6.927509312830981e+18,SLEEP YELLER,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7103593947376651051.mp3,,False,False,,,,,[],0,0,Jersey,#extra #eggs #legs #whatdoyoumean #sleeptalking #sleeptalker,0,0,0,0,0,0,0,0,0,0
0,US,7086971205177068842,1650064068,IT LOOKS SO BAD NOW!!! i just wanted to show it off.. 😢😢 #crystals #crystaltok #asmr #asmrsounds #asmrsoundsdaily #fyp #fypシ #crystalclanks,7083676673900528683,crystal clanks ✨,🔮✨ crystal aesthetics ✨🔮,0,False,https://www.tiktok.com/@crystalclanks/video/7086971205177068842?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086971205177068842&source=h5_m,8976372,23035,3386,8207,1071423,7081406189908675374,7081406189908675374,10036,7081406189908675374,As It Was,Harry Styles,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/cd4491f71f47463da252701588f38dbb,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/8ae68f7cbe0f421d8bc9b027602794f1,False,True,,,,,[],0,0,Jersey,#crystals #crystaltok #asmr #asmrsounds #asmrsoundsdaily #fyp #fypシ #crystalclanks,0,0,0,0,1,1,0,0,0,0
