,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_gaming,hash_minecraft,hash_minecraftbuilding,hash_pourtoi,hash_trend,hash_viral
2,US,7093933217840975146,1651685039,What does an Asian women do after a party for the whole night #Vlog #tjhomesmart #partygirl,7033298847409882158,tjhomesmart,"Share life changing ideas and home good stuff
You can find home gadgets here👇🏻",0,False,https://www.tiktok.com/@tjhomesmart/video/7093933217840975146?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093933217840975146&source=h5_m,4835092,2903,2813,4388,154497,7093933163558439726,7093933163558439726,72,7093933163558439726,original sound - tjhomesmart,tjhomesmart,7.033298847409882e+18,tjhomesmart,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7093933243468221226.mp3,,False,False,[],0,0,,,,,Madagascar,#Vlog #tjhomesmart #partygirl,0,0,0,0,0,0,0,0,0,0
3,IT,7099479085310610694,1652976287,"Finally, I can shoot my videos for you without any problems☺️🔥 #recommendations #4you #anime #iphone",280483223279755264,your anime girl👑,"IG: @fesch6 
Cooperation: feschenko090@gmail.com
YELLOW MUKBANG🤤🍜👇🏻",0,False,https://www.tiktok.com/@fesch6/video/7099479085310610694?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099479085310610694&source=h5_m,2398822,2676,163,941,357974,6729959230851254274,6729959230851254274,10033,6729959230851254274,Che La Luna,Louis Prima,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1de1f9fae2d74986b60bc778451b18c5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f2fd034403fe4bb09327e4657188b3fa,False,True,[],0,0,,,,,Madagascar,#recommendations #4you #anime #iphone,0,0,0,0,0,0,0,0,0,0
4,JP,7076033824559254786,1647517511,Easy👬👬🔥.#japan#tricking#illusion#tumbling#theforce#parkour#backflip #backflipchallenge#男子新体操#タンブリング#lol #일본,6532596666830274561,石川裕平,"NHK「テレビ体操」
体操のお兄さん🤸‍♀️",0,False,https://www.tiktok.com/@namiherg/video/7076033824559254786?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076033824559254786&source=h5_m,2020776,355,728,3781,133058,6373163214225541890,6373163214225541890,10033,6373163214225541890,Shape of You,Ed Sheeran,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/16d2aa08b6794e6790e574e6e1ef56b4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/db30adc1b831402e8d3e3d3206b9b918,True,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1193701392', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Madagascar,#japan#tricking#illusion#tumbling#theforce#parkour#backflip #backflipchallenge#男子新体操#タンブリング#lol #일본,0,0,0,0,0,0,0,0,0,0
5,MG,7099455356685913349,1652970763,Assassin tacle part 3 ☠️🔪👿 #assassin #tacle #tacleassassin #mrclasheur #valverde #otavio #dejong #delight,6918416826859226117,Football/tacle,"TACLE ASSASSIN ☠️.
 Real Madrid 🤍💙",0,False,https://www.tiktok.com/@mr.clasheur/video/7099455356685913349?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099455356685913349&source=h5_m,728696,317,275,1370,62503,7094487407369734918,7094487407369734918,72,7094487407369734918,original sound - mr.clasheur,Football/tacle,6.918416826859226e+18,Football/tacle,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094487432833927942.mp3,,False,False,[],0,0,,,,,Madagascar,#assassin #tacle #tacleassassin #mrclasheur #valverde #otavio #dejong #delight,0,0,0,0,0,0,0,0,0,0
6,MG,7075241876537855238,1647333124,#brownstone #fyp #rnb #rnbmusic #oldschoolrnb #90srnb #oldbutgold,7031134109971825670,Oldschool_rnb_lover,✨ Old School Rnb & Hip-Hop ✨,0,False,https://www.tiktok.com/@oldschool_rnb_lover/video/7075241876537855238?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075241876537855238&source=h5_m,123210,194,951,2125,10453,222865291309879296,222865291309879296,71,222865291309879296,If You Love Me,Brownstone,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/142929cc280a4853900cc993dec5b5b8,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/6e44dc270fc54156a141e0e78a451dd5,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '373599227', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Madagascar,#brownstone #fyp #rnb #rnbmusic #oldschoolrnb #90srnb #oldbutgold,0,0,1,0,0,0,0,0,0,0
7,DE,7099076149015334149,1652882471,3 days worth of social battery gone #fyp #foryou #introvert #relatable,7048599084181160965,berlinricecake,im bored,0,False,https://www.tiktok.com/@berlinricecake/video/7099076149015334149?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099076149015334149&source=h5_m,1041482,1499,2159,79,351035,7085807151175846698,7085807151175846698,72,7085807151175846698,original sound - hotsinglefunnyblackgirl,hotsinglefunnyblackgirl,6.990045657063032e+18,hotsinglefunnyblackgirl,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7085807201780206382.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/76b008304fa68de92964520e7d8ff37e.json,False,False,[],0,0,,,,,Madagascar,#fyp #foryou #introvert #relatable,1,0,1,0,0,0,0,0,0,0
0,US,7088729530038373678,1650473460, ,6600540663204347910,That B Tii,"✨18✨
💃I dance💃
🦋Virgo🦋
💜ROAD TO 35K💜
🌸🇵🇭🌸",0,False,https://www.tiktok.com/@nam.biddies.exe/video/7088729530038373678?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088729530038373678&source=h5_m,2569515,1934,2227,11270,398096,6746626931065637637,6746626931065637637,72,6746626931065637637,Zenyen96_Pookie by Aya Nakamura (Contains music from: Pookie - Aya Nakamura),"Contains music from: ""Pookie""",6.741971971976414e+18,ZenYen,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1647129300295702.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/66976bad70549b58e4bf9f4ad4b8d2be.json,False,False,[],0,0,Aya Nakamura,Pookie,Zenyen96_Pookie by Aya Nakamura (Contains music from: Pookie - Aya Nakamura),"Contains music from: ""Pookie""",Madagascar,,0,0,0,0,0,0,0,0,0,0
1,US,7085502357315882283,1649722075,#fyp #lavignes,6720002216743420934,TheLaVignes,"Yes, we still do family vlogs on Youtube 🤪",0,False,https://www.tiktok.com/@thelavignes/video/7085502357315882283?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085502357315882283&source=h5_m,2944879,4103,21194,24067,207040,6998259636247759621,6998259636247759621,72,6998259636247759621,original sound - themillicamp (Contains music from: Just The Two of Us - Kauai45 & Sweet Cocoa),"Contains music from: ""Just The Two of Us""",6.728891812989273e+18,TMC,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6998259719290751749.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a19c5d88b7fcf74ff069cc82da66bec7.json,False,False,[],0,0,Kauai45 & Sweet Cocoa,Just The Two of Us,original sound - themillicamp (Contains music from: Just The Two of Us - Kauai45 & Sweet Cocoa),"Contains music from: ""Just The Two of Us""",Madagascar,#fyp #lavignes,0,0,1,0,0,0,0,0,0,0
2,US,7086984767383620906,1650067226,I got a divorce on accident 😔💔,6732979973579736069,Marsai,aight,0,False,https://www.tiktok.com/@marsaimartin/video/7086984767383620906?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086984767383620906&source=h5_m,6968921,3224,998,3552,837795,6795407744489752577,6795407744489752577,10033,6795407744489752577,Just a Cloud Away,Pharrell Williams,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a9dc60e62f334229af15a0b1650029ff,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/988a63de74c749a8907746e2d8e4b798,False,True,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
3,AE,7089748006429412609,1650710594,"No worries, it’ll pass quickly! #oneyearwithoutme #couple #videogames #ps #straightlikethat #humor #funny #choice #العاب_الفيديو #مسلي #غيرمتوقع",6822294298797655046,Kalan & Lina,"Fun & Laughs
Русская & اماراتي

🏃🏽‍♂️ Follow us! 🏃🏻‍♀️",0,False,https://www.tiktok.com/@kalan.lina/video/7089748006429412609?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089748006429412609&source=h5_m,1243598,438,2576,31,56739,7015295314630347525,7015295314630347525,72,7015295314630347525,original sound - z_dangerouz_z,Z_DaNGeRouZ_z,6.986615522520581e+18,Z_DaNGeRouZ_z,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7015295364005858054.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/36b2213f0f1eb5af9bcba2a397fe8f50.json,False,False,[],0,0,,,,,Madagascar,#oneyearwithoutme #couple #videogames #ps #straightlikethat #humor #funny #choice #العاب_الفيديو #مسلي #غيرمتوقع,0,0,0,0,0,0,0,0,0,0
4,TH,7089056525171346714,1650549594,#exercise #healthy #coolgirl #perfect #strong #Fitness #gym,6820426530830271489,Love Me Like You Do,,0,False,https://www.tiktok.com/@lvy_2332/video/7089056525171346714?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089056525171346714&source=h5_m,37578193,23241,34066,2054,2542086,6882398711717137154,6882398711717137154,72,6882398711717137154,74_..._Elleen (Contains music from: Khushiyaan - Dev Kohli),"Contains music from: ""Khushiyaan""",6.882103990612706e+18,hadeel .,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6882398665697151746.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/77c470418271b7fdb59fe43176cdea82.json,False,False,[],0,0,Dev Kohli,Khushiyaan,74_..._Elleen (Contains music from: Khushiyaan - Dev Kohli),"Contains music from: ""Khushiyaan""",Madagascar,#exercise #healthy #coolgirl #perfect #strong #Fitness #gym,0,0,0,0,0,0,0,0,0,0
5,NG,7092466081809304837,1651343444,#fyp #foryou,7057817926426117126,Black&whitewomen,ALL ABOUT WOMEN,0,False,https://www.tiktok.com/@blackwhitewomen0/video/7092466081809304837?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092466081809304837&source=h5_m,1768727,432,15243,114089,129657,7092466057251654405,7092466057251654405,72,7092466057251654405,original sound - blackwhitewomen0,Black&whitewomen,7.057817926426117e+18,Black&whitewomen,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092466071655336709.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fab05936070f7c674dbefb2e6f0055aa.json,False,False,[],0,0,,,,,Madagascar,#fyp #foryou,1,0,1,0,0,0,0,0,0,0
6,GB,7100179972555410693,1653139476,Roasted 😂😶,7086874889597256710,Incomelane,Only one thing to join the 1% club 🚀⬆️,0,False,https://www.tiktok.com/@incomelane/video/7100179972555410693?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100179972555410693&source=h5_m,101716,54,153,303,7653,6964785562949093377,6964785562949093377,10033,6964785562949093377,Polozhenie - Izzamuzzic Remix,Скриптонит,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/261416699b6e41c9817bf879750696b6,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f58299ebc28a480e8aeed7580009e2b9,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1568740601', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
7,CA,7088795198876077318,1650488750,Never fails. 🙃 Anyone else? @michiko #fyp #foryou #foryoupage #funny #girls #relatable #facts #girlproblems,6743935286751691782,girls,"The most relatable girly content ❤️
✨Partnerships@10pmcurfew.com✨",0,False,https://www.tiktok.com/@girls/video/7088795198876077318?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088795198876077318&source=h5_m,1043736,1533,2910,5236,231563,7082602642932812587,7082602642932812587,72,7082602642932812587,original sound - big_ruck (Contains music from: Tony Hawk’s - Miracle),"Contains music from: ""Tony Hawk’s""",7.001537264241247e+18,Semi🚛Truck,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7082602689913178922.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/299e5bcc04daf6abc6303a2c3d3c1cab.json,False,False,[],0,0,Miracle,Tony Hawk’s,original sound - big_ruck (Contains music from: Tony Hawk’s - Miracle),"Contains music from: ""Tony Hawk’s""",Madagascar,#fyp #foryou #foryoupage #funny #girls #relatable #facts #girlproblems,1,1,1,0,0,0,0,0,0,0
0,US,7075664836520152322,1647431599,why do they look so funny,6561695017990504449,Krutika 🐥,"Just a weeb that likes anime, kdrama and games 🤡",0,False,https://www.tiktok.com/@themermaidscale/video/7075664836520152322?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075664836520152322&source=h5_m,6809069,4900,5353,23250,1038384,7075664831147838209,7075664831147838209,24,7075664831147838209,original sound - themermaidscale (Contains music from: Mujeriego - Ryan Castro),"Contains music from: ""Mujeriego""",6.561695017990504e+18,Krutika 🐥,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7075664834620394241.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bae5c0b4864f9b8fe3e6482e9dc11c62.json,False,False,[],0,0,Ryan Castro,Mujeriego,original sound - themermaidscale (Contains music from: Mujeriego - Ryan Castro),"Contains music from: ""Mujeriego""",Madagascar,,0,0,0,0,0,0,0,0,0,0
1,US,7099569883775667502,1652997426,Cooool line 😎What was your favorite gift ?#gift#tattoo#fyp#foryoupage#tiktok#tattoolover,7099430157353665579,tattoocici,"Temporary tattoo sticker 🌈
WA:8618688689877
Click below for shipping 🛍 
⬇️⬇️",0,False,https://www.tiktok.com/@tattoocici/video/7099569883775667502?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099569883775667502&source=h5_m,686000,57,74,645,18598,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Madagascar,#gift#tattoo#fyp#foryoupage#tiktok#tattoolover,0,1,1,0,0,0,0,0,0,0
2,PH,7101655292785528090,1653482973,I like you but 😕#lyrical #aesthetic #sad #ginzel_hao #music,7101260081320739866,Ginzel_Hao,Come join me as we heal ourselves through the art of music 🖤,0,False,https://www.tiktok.com/@ginzel_hao/video/7101655292785528090?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101655292785528090&source=h5_m,4720708,1887,18872,94876,713934,6963484854365195010,6963484854365195010,24,6963484854365195010,Eenie meani Ray Surajaya Cover,Ray,6.826578848394986e+18,Ray,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6963484850271587074.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/62dd4400c159f229abf814f58ad7f5f7.json,False,False,[],0,0,,,,,Madagascar,#lyrical #aesthetic #sad #ginzel_hao #music,0,0,0,0,0,0,0,0,0,0
3,GB,7086407838968335621,1649932901,My humour is broken #fyp #memes,7085438080773751813,Random things/ Fraz&chaz,"Getting slim Jim to comment
Go follow @viva.richarlison
And @footy_boy12
20k?",0,False,https://www.tiktok.com/@randomstuf735/video/7086407838968335621?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086407838968335621&source=h5_m,7718834,12715,26140,54459,1207372,7086407807594973958,7086407807594973958,72,7086407807594973958,original sound - randomstuf735,Random things/ Fraz&chaz,7.085438080773752e+18,Random things/ Fraz&chaz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086407822480526086.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/39613ee3da0d46e12fc4a89c8fa666af.json,False,False,[],0,0,,,,,Madagascar,#fyp #memes,0,0,1,0,0,0,0,0,0,0
4,DE,7094689063944441094,1651861023,#pov: You’re on the way to the party #viral#foryou#elevatorboys#crush#Love#trend,6813884539272201221,jacob rott,"IG: jacobrott
boy meets world 🌍 

𝕳𝖊𝖑𝖑 𝖜𝖆𝖘 𝖇𝖔𝖗𝖎𝖓𝖌",0,False,https://www.tiktok.com/@jacob_rtt/video/7094689063944441094?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094689063944441094&source=h5_m,6330468,9953,10040,448,947003,7056374191741881094,7056374191741881094,72,7056374191741881094,dont x do i wanna know,i love aedamonx,6.925718782796531e+18,i love aedamonx,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7056374224994241286.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/defb39f52b87ec10b4d619d57c03daa3.json,False,False,[],0,0,,,,,Madagascar,#pov: #viral#foryou#elevatorboys#crush#Love#trend,1,0,0,0,0,0,0,0,1,1
5,GB,7103632801206963462,1653943399, ,6774457503856149509,xgilham,RELATABLE QUOTES & EMOTIONS,0,False,https://www.tiktok.com/@xgilham/video/7103632801206963462?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103632801206963462&source=h5_m,150100,392,1362,1424,14178,7103632799172758278,7103632799172758278,72,7103632799172758278,original sound - xgilham,xgilham,6.77445750385615e+18,xgilham,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103632792172612358.mp3,,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
6,US,7096869213666659627,1652368629,#military,7094534606435845166,armystrongs246,,0,False,https://www.tiktok.com/@armystrongs246/video/7096869213666659627?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096869213666659627&source=h5_m,183831,15,21,222,7975,7096869160596196142,7096869160596196142,72,7096869160596196142,original sound - armystrongs246,armystrongs246,7.094534606435845e+18,armystrongs246,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7096869174194047787.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1f1cec3811b3d7f888b5e1a9a3dff195.json,False,False,[],0,0,,,,,Madagascar,#military,0,0,0,0,0,0,0,0,0,0
7,US,7079911052426693889,1648420251, ,6848593700559700998,Аnokhina Liza,"I’m 🇷🇺
📍Los-Angeles 
💖Liza💖
PR/AD: offer@yummy.global",0,False,https://www.tiktok.com/@anokhinalz/video/7079911052426693889?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079911052426693889&source=h5_m,9302629,8002,1421,4819,752532,7051520298419604226,7051520298419604226,72,7051520298419604226,runaway,🍪,7.046608758293726e+18,🍪,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7051520300277713666.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/96730f8b22d6591698254e6ec0b0e238.json,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
0,US,7077710628261039406,1647907922,#goldenretriever,18818394,Miken,Dola🐶 and Billie🐶,0,False,https://www.tiktok.com/@se4nyyy/video/7077710628261039406?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077710628261039406&source=h5_m,36419040,39588,223529,77069,7045310,7077710603011541806,7077710603011541806,72,7077710603011541806,original sound - se4nyyy,Miken,18818394.0,Miken,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7077710630773345066.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b101b64c8a29d1ec5cd39bcc2d447053.json,False,False,[],0,0,,,,,Madagascar,#goldenretriever,0,0,0,0,0,0,0,0,0,0
1,US,7102567264653790510,1653695308, ,11956846,The Mannii Show,"ʕ•̫͡•ʔ🙏🏼Follow my YouTube⤴️ iNstaGram⤴️ʕ•̫͡•ʔ
✨BLM✨
Merch Coming S♾N 🧢🔥",0,False,https://www.tiktok.com/@the_mannii/video/7102567264653790510?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102567264653790510&source=h5_m,830256,2135,3823,4278,163039,7026533734111251205,7026533734111251205,72,7026533734111251205,"original sound - hsfallie (Contains music from: Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack - The Weeknd)","Contains music from: ""Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack""",6.947663256535483e+18,⚘ೃ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7026533829888314118.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f794bbece119757625431fa2db83856e.json,False,False,[],0,0,The Weeknd,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","original sound - hsfallie (Contains music from: Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack - The Weeknd)","Contains music from: ""Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack""",Madagascar,,0,0,0,0,0,0,0,0,0,0
2,US,7082809038022413614,1649094988,How to make someone obsessed with you😳follow for more tips!,6689530949409408005,Annabelle,"i give advice👑
my insta DM’s are always open💞
💌Annabelle@missmanagedla.com",0,False,https://www.tiktok.com/@annabellegesson/video/7082809038022413614?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082809038022413614&source=h5_m,3560665,4018,6053,21603,350983,7082809001007958830,7082809001007958830,72,7082809001007958830,original sound - annabellegesson,Annabelle,6.689530949409408e+18,Annabelle,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7082809018250693422.mp3,,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
3,FR,7100585499705871622,1653233895,Quand ce n’est jamais de ta faute 😂 / Insta : Adele_Tsy 🌸,6587361422161838086,Adele_tsdr,"Adele 🌟
Mon Insta : adele_tsy 🌟
Mail : adele@newscreen.fr",0,False,https://www.tiktok.com/@adele_tsy/video/7100585499705871622?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100585499705871622&source=h5_m,2158789,1243,1935,44,349285,7100585517145656069,7100585517145656069,72,7100585517145656069,original sound - adele_tsy,Adele_tsdr,6.587361422161838e+18,Adele_tsdr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100585509029694213.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/90776a6ff605d957d7ac4480d08648b7.json,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
4,US,7076117844412419370,1647537073,#couplegoals kinda,6507754783003770882,Jay & Sharon,"that CHEAP guy…& his wife
wey.empire@gmail",0,False,https://www.tiktok.com/@jayandsharon/video/7076117844412419370?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076117844412419370&source=h5_m,2043425,407,677,2959,174272,7076117790465264426,7076117790465264426,72,7076117790465264426,original sound - jayandsharon,Jay & Sharon,6.507754783003771e+18,Jay & Sharon,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076117825869368110.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c54cb79a01ef8a4047aa8b8e7ca76b74.json,False,False,[],0,0,,,,,Madagascar,#couplegoals,0,0,0,0,0,0,0,0,0,0
5,PH,7094524533100547354,1651822715,always and forever 🫶🏼,6675294781633987585,D.,Rebu’s <3,0,False,https://www.tiktok.com/@didatstick/video/7094524533100547354?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094524533100547354&source=h5_m,418443,184,322,679,47973,6887442519148350213,6887442519148350213,72,6887442519148350213,Falling In Love (Contains music from: Feel Your Touch - Dookie & Auburn & Chevyboy),"Contains music from: ""Feel Your Touch""",1.0513202089207398e+17,Kelsey Hester,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6887442289862445829.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/af1c6eb67031b127a11e2f2dde3f0b5d.json,False,False,[],0,0,Dookie & Auburn & Chevyboy,Feel Your Touch,Falling In Love (Contains music from: Feel Your Touch - Dookie & Auburn & Chevyboy),"Contains music from: ""Feel Your Touch""",Madagascar,,0,0,0,0,0,0,0,0,0,0
6,VN,7092628172914625818,1651381183,We just friend #cat,6546370761685565442,JSOL,"Meowww
Vietnamese 🇻🇳
IG: Jsol.thaison",0,False,https://www.tiktok.com/@jsol.dreams/video/7092628172914625818?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092628172914625818&source=h5_m,20663950,30842,29163,45914,3385358,6709918824902216454,6709918824902216454,72,6709918824902216454,original sound - brentrivera,Brent Rivera,7445731.0,Brent Rivera,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1638249270431765.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/748946f2dd9c493e377a7a3be4dc6da0.json,False,False,[],0,0,,,,,Madagascar,#cat,0,0,0,0,0,0,0,0,0,0
